plot,frequency,height,landuse,value,landscape,Time,species,transmission,ambient.noise,excess_attenuation,extinction,extinction_species,area_ha,tree_density,basal_area_m2_ha,tree_height_m,crown_base_height_m,understory_density,understory_height_m,pred_species,rel_pred_species
BF1,0.36,2,Forest,extrapolated,Bukit 12,sunset,NA,-8.564381173,57.47628634,NA,2.756635809,NA,0.088329181,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.36,5,Forest,extrapolated,Bukit 12,sunrise,NA,-7.148586993,43.9523538,NA,5.904915747,NA,71.61616908,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.36,5,Forest,extrapolated,Bukit 12,sunset,NA,-7.148586993,57.47628634,NA,3.576996897,NA,0.563572426,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.48,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-9.497075614,42.75395409,NA,4.304721837,NA,2.399028901,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.48,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-9.497075614,55.95920431,NA,2.726373199,NA,0.087662693,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.48,2,Forest,extrapolated,Bukit 12,sunrise,NA,-8.564381173,42.75395409,NA,4.628700202,NA,4.329834438,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.48,2,Forest,extrapolated,Bukit 12,sunset,NA,-8.564381173,55.95920431,NA,2.947211574,NA,0.131217435,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.48,5,Forest,extrapolated,Bukit 12,sunrise,NA,-7.148586993,42.75395409,NA,6.114958826,NA,110.2794645,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.48,5,Forest,extrapolated,Bukit 12,sunset,NA,-7.148586993,55.95920431,NA,3.833316631,NA,0.966400841,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.5,0.1,Forest,measured,Bukit 12,sunrise,NA,-9.497075614,42.62803775,8.859636535,4.319992474,NA,2.47679037,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.5,0.1,Forest,measured,Bukit 12,sunset,NA,-9.497075614,NA,8.859636535,NA,NA,NA,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.5,2,Forest,measured,Bukit 12,sunrise,NA,-8.564381173,42.62803775,2.466471901,4.644914284,NA,4.478155021,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.5,2,Forest,measured,Bukit 12,sunset,NA,-8.564381173,NA,2.466471901,NA,NA,NA,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.5,5,Forest,measured,Bukit 12,sunrise,NA,-7.148586993,42.62803775,-2.438651628,6.137055033,NA,115.3980053,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.5,5,Forest,measured,Bukit 12,sunset,NA,-7.148586993,NA,-2.438651628,NA,NA,NA,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.62,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-9.60403918,41.89612418,NA,4.295452517,NA,2.281685369,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.62,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-9.60403918,54.05728371,NA,2.88155755,NA,0.118682403,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.62,2,Forest,extrapolated,Bukit 12,sunrise,NA,-8.424177397,41.89612418,NA,4.765912018,NA,5.558934098,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.62,2,Forest,extrapolated,Bukit 12,sunset,NA,-8.424177397,54.05728371,NA,3.210936944,NA,0.221616607,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.62,5,Forest,extrapolated,Bukit 12,sunrise,NA,-6.966616986,41.89612418,NA,6.408940129,NA,200.5545406,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.62,5,Forest,extrapolated,Bukit 12,sunset,NA,-6.966616986,54.05728371,NA,4.253367815,NA,2.316875009,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.77,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-9.737743637,40.53214948,NA,4.321898356,NA,2.316308905,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.77,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-9.737743637,52.26578074,NA,3.002441008,NA,0.14841974,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.77,2,Forest,extrapolated,Bukit 12,sunrise,NA,-8.248922677,40.53214948,NA,4.981372947,NA,8.268568963,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.77,2,Forest,extrapolated,Bukit 12,sunset,NA,-8.248922677,52.26578074,NA,3.473271792,NA,0.368902093,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.77,5,Forest,extrapolated,Bukit 12,sunrise,NA,-6.739154478,40.53214948,NA,6.849126229,NA,490.5373584,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.77,5,Forest,extrapolated,Bukit 12,sunset,NA,-6.739154478,52.26578074,NA,4.702757597,NA,5.869292418,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.95,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-9.898188986,40.4896609,NA,4.184136926,NA,1.657271049,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.95,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-9.898188986,52.03714243,NA,2.936292515,NA,0.125178299,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.95,2,Forest,extrapolated,Bukit 12,sunrise,NA,-8.038617012,40.4896609,NA,5.045091226,NA,8.843165917,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.95,2,Forest,extrapolated,Bukit 12,sunset,NA,-8.038617012,52.03714243,NA,3.552292243,NA,0.416593315,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.95,5,Forest,extrapolated,Bukit 12,sunrise,NA,-6.466199468,40.4896609,NA,7.105985493,NA,822.1009157,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.95,5,Forest,extrapolated,Bukit 12,sunset,NA,-6.466199468,52.03714243,NA,4.919336288,NA,9.10872576,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.1,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.03189344,41.95285323,NA,3.925023462,NA,0.933728338,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.1,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.03189344,51.84894099,NA,2.888139504,NA,0.110571569,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.1,2,Forest,extrapolated,Bukit 12,sunrise,NA,-7.863362292,41.95285323,NA,4.914325818,NA,6.420898229,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.1,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.863362292,51.84894099,NA,3.626059766,NA,0.46868773,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.1,5,Forest,extrapolated,Bukit 12,sunrise,NA,-6.238736959,41.95285323,NA,7.038972305,NA,711.2029288,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.1,5,Forest,extrapolated,Bukit 12,sunset,NA,-6.238736959,51.84894099,NA,5.111411889,NA,13.43548937,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.3,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.21016605,39.41746104,NA,4.065529109,NA,1.188672056,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.3,0.1,Forest,extrapolated,Bukit 12,sunset,frog,-10.21016605,52.52511897,NA,2.739555527,4.767364602,0.079364956,476,688.4965,18.65,10.35,0.0017264,0.7033,78.80639819,1.070378236
BF1,1.3,2,Forest,extrapolated,Bukit 12,sunrise,NA,-7.629689331,39.41746104,NA,5.349708458,NA,14.53310701,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.3,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.629689331,52.52511897,NA,3.616992124,NA,0.444169133,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.3,5,Forest,extrapolated,Bukit 12,sunrise,NA,-5.935453614,39.41746104,NA,7.862614275,NA,3772.9589,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.3,5,Forest,extrapolated,Bukit 12,sunset,NA,-5.935453614,52.52511897,NA,5.200473517,NA,15.91252819,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.6,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.47757497,38.42009098,NA,4.004976303,NA,0.990614873,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
