Habitat,Frequency,0m,1m,2m,5m,10m
DFL2,3,12.8,17.5,14.4,12.4,7.6
DFL2,3.5,15.9,16.8,12.1,9.9,15.2
DFL2,4,17.5,17.6,16.9,10.4,14.6
DFL2,4.5,19.5,20.5,17.7,17.5,17.9
DFL2,5,19.5,23.4,13.4,18.5,19.6
DFL2,6,23.9,21.2,12.7,24.3,27.3
DFL2,7,26.8,25.7,24.9,27.6,30.5
DFL2,8,29.7,29.3,26.4,33.6,34.2
DFL2,9,30,30.1,32.2,36.8,37.6
DFL2,10,36.5,35.3,34.8,41,36.7
DFL2,11,36.6,36.8,34,38.3,34.7
DFL3,0.35,,,,,
DFL3,0.4,,,4,-3,1.5
DFL3,0.5,,15.2,1.7,-0.4,-4.7
DFL3,0.6,,,,,
DFL3,0.8,29.3,2.4,1.9,0.7,2.3
DFL3,1,23.1,4.7,11.1,2.3,0.1
DFL3,1.25,14.4,12.8,2.3,5.6,1.4
DFL3,1.5,16.7,4.1,-3.3,5.9,5.4
DFL3,1.75,18.7,11.9,3.1,5,10.7
DFL3,2,15.7,6.6,-2.8,0,7.1
DFL3,2.25,15.3,9.8,1.5,9.7,12.2
DFL3,2.5,19.9,9.2,2.5,6.8,8.9
DFL3,2.75,20.5,5.8,0,9.7,6
DFL3,3,22.6,11.4,5.9,3.3,5.8
DFL3,3.5,21.3,12.4,7.5,9.3,8.4
DFL3,4,18.7,14.9,14.2,7.6,8.4
DFL3,4.5,25.6,16,16.1,11.4,9.4
DFL3,5,26.9,14.6,18.7,14,18.2
DFL3,6,29.8,16.4,20.7,16.4,16
DFL3,7,33.9,24.4,24,22.3,22.8
DFL3,8,36.1,27.4,28.8,24.6,24.2
DFL3,9,37.8,32.5,33.6,26.6,28.2
DFL3,10,37.1,34.9,32.1,30.8,33.2
DFL3,11,37.7,36.5,34.5,30.2,34.6
DFL4,0.35,,,,,
DFL4,0.4,13.3,17,-4.2,-8.8,4.9
DFL4,0.5,18.5,13,-3.1,-3.7,-0.6
DFL4,0.6,,,,,
DFL4,0.8,19.4,0.1,-2,3.8,0.3
DFL4,1,18,7.5,6,-5.7,-1.1
DFL4,1.25,18.3,-4.9,6.4,1.2,1.5
DFL4,1.5,10.7,9.7,8.4,-0.2,3.4
DFL4,1.75,8.4,4.8,10.4,-0.1,2
DFL4,2,7.2,4.9,8.9,0.6,1.3
DFL4,2.25,8,2.9,5.7,-0.1,3
DFL4,2.5,12,2.9,6.5,3.1,2.6
DFL4,2.75,6,2.4,5.9,5.7,2.5
DFL4,3,11.8,4.1,7.7,-1.3,3
DFL4,3.5,14,9.3,9.2,3.8,4.5
DFL4,4,13.8,9.7,11.8,6.5,6.5
DFL4,4.5,18.4,11.7,11.5,5.9,6.4
DFL4,5,21.4,16.6,12.3,10.3,10.9
DFL4,6,25.1,16.9,19.4,14.5,11.2
DFL4,7,28.8,24.7,23.3,19.7,17.8
DFL4,8,31.3,27.4,26.2,23.2,21.5
DFL4,9,33.7,28.3,30.1,23.6,26.8
DFL4,10,35.5,35.4,37.6,31,31.2
DFL4,11,36.4,37.7,38.5,33.3,34.3
DFWL1,0.35,20.2,14.7,6.2,-2.8,1.5
DFWL1,0.4,23.5,23.6,14.9,-1.8,4.3
DFWL1,0.5,20,22.8,15.8,2.3,9.8
DFWL1,0.6,25.9,11,11.3,1.6,-1.9
DFWL1,0.8,15.2,17,4.7,5.8,1
DFWL1,1,12.9,13.5,-3.9,-1.4,-1.3
DFWL1,1.25,27.6,8,-1.7,11,12.5
DFWL1,1.5,12.4,11.1,7.3,-2,9.9
DFWL1,1.75,10.2,10.8,0,7.4,8.3
DFWL1,2,19.2,4.4,1.7,-0.1,14.5
DFWL1,2.25,4.5,3.7,-1.6,1.3,13.8
DFWL1,2.5,16.3,8.8,0.8,0.1,6.6
DFWL1,2.75,19.2,7.1,2.6,3.9,
DFWL1,3,12.2,10.7,3.6,9.7,21
DFWL1,3.5,15.8,15.2,16.7,11.1,15.7
DFWL1,4,19.4,11.3,6.2,6.3,15.8
DFWL1,4.5,23.3,15.7,19.2,8.5,18.1
DFWL1,5,16.2,13.1,15,5.7,24.3
DFWL1,6,30.9,22.9,15.2,12.6,27.2
DFWL1,7,25.5,17.6,16.8,12.8,24.5
DFWL1,8,31.1,19.8,17.3,15,16.9
DFWL1,9,27.1,26.8,15,15,28.4
DFWL1,10,33.3,25.2,23.2,24.6,32.6
DFWL1,11,33.8,33.3,22.7,21.7,33.7
DFLW2,0.35,27.5,21.5,16.7,-5.7,-4.5
DFLW2,0.4,25.3,27.4,5.2,20.4,4.1
DFLW2,0.5,22.1,24.2,19.5,6,-0.5
DFLW2,0.6,29.4,18.3,8.3,5.9,0.8
DFLW2,0.8,21.9,25.4,21,13.4,6.6
DFLW2,1,17.8,11.2,15.5,7.6,7.6
DFLW2,1.25,26,25.7,11,11,4.7
DFLW2,1.5,20.9,15,8,12.1,6.8
DFLW2,1.75,24.5,12.1,7.1,11.8,13.6
DFLW2,2,12.5,11.7,14,8.2,9.3
DFLW2,2.25,6.2,19.8,14.2,12.3,14.5
DFLW2,2.5,19.7,22.8,8.7,13.4,20
DFLW2,2.75,15.1,21.5,13.7,22.1,9.9
DFLW2,3,20.7,21.3,15.2,12.4,17.6
DFLW2,3.5,17.3,10.1,9.7,14.3,22
DFLW2,4,14,18.8,14.9,17.8,25.8
DFLW2,4.5,19.7,21.5,15.4,18.2,18.5
DFLW2,5,23.7,21.7,17.5,15,32.8
DFLW2,6,29.1,20.7,19.2,21.4,36.6
DFLW2,7,33.4,30,23.9,30,33.7
DFLW2,8,36.7,35.3,31.6,34.4,36.2
DFLW2,9,36.1,32.6,29,34.6,34.9
DFLW2,10,40.9,32.8,39.9,36.5,37.7
DFLW2,11,40.7,36.8,30.2,35.7,34.3
